,Human Longitude,Human Latitude,Human Acres Burned
3720,-124.20855,43.10276,0.02
4636,-124.20833,43.50767,0.01
13015,-124.20833,43.66139,0.01
16556,-124.20833,43.66111,0.01
10049,-124.20833,43.35361,0.01
14215,-124.20778,43.18417,0.01
16848,-124.20778,43.57778,0.04
11842,-124.20778,43.52389,0.1
10741,-124.20722,43.35722,0.01
10737,-124.20722,43.35722,0.02
12778,-124.20722,43.66056,0.23
15556,-124.20722,43.10333,0.1
15317,-124.20694,43.52222,0.01
9155,-124.20667,43.31639,0.01
11714,-124.20667,43.47694,0.1
4683,-124.2065,43.506,0.01
9997,-124.20583,41.99917,0.01
10561,-124.20583,43.34583,0.01
11069,-124.20583,43.66111,0.1
6233,-124.20528,43.01444,0.01
10982,-124.20528,43.50667,0.5
